#Release 11.4 - par L.68 (lin64)
#Copyright (c) 1995-2009 Xilinx, Inc.  All rights reserved.

#Tue Dec 13 16:35:39 2011

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       system_map.ncd
#OUTPUT FILE:      system_pad.csv
#PART TYPE:        xc6vsx475t
#SPEED GRADE:      -1
#PACKAGE:          ff1759
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,IO Register,Signal Integrity,
A2,,,GND,,,,,,,,,,,,
A3,,,GND,,,,,,,,,,,,
A4,,,GND,,,,,,,,,,,,
A5,,IPAD,MGTRXP3_118,UNUSED,,,,,,,,,,,
A6,,IPAD,MGTRXN3_118,UNUSED,,,,,,,,,,,
A7,,,GND,,,,,,,,,,,,
A8,,,GND,,,,,,,,,,,,
A9,,IPAD,MGTREFCLK1N_118,UNUSED,,,,,,,,,,,
A10,,IPAD,MGTREFCLK1P_118,UNUSED,,,,,,,,,,,
A11,,,GND,,,,,,,,,,,,
A12,,,MGTAVTTRCAL_115,,,,,,,,,,,,
A13,,,GND,,,,,,,,,,,,
A14,,IOBS,IO_L5N_SM2N_35,UNUSED,,35,,,,,,,,,
A15,,IOBM,IO_L5P_SM2P_35,UNUSED,,35,,,,,,,,,
A16,,IOBM,IO_L1P_35,UNUSED,,35,,,,,,,,,
A17,,IOBM,IO_L17P_36,UNUSED,,36,,,,,,,,,
A18,,,GND,,,,,,,,,,,,
A19,,IOBS,IO_L15N_36,UNUSED,,36,,,,,,,,,
A20,,IOBS,IO_L15N_37,UNUSED,,37,,,,,,,,,
A21,,IOBS,IO_L13N_37,UNUSED,,37,,,,,,,,,
A22,,IOBM,IO_L13P_37,UNUSED,,37,,,,,,,,,
A23,,,VCCO_37,,,37,,,,,any******,,,,
A24,,IOBS,IO_L1N_37,UNUSED,,37,,,,,,,,,
A25,,IOBS,IO_L11N_SRCC_38,UNUSED,,38,,,,,,,,,
A26,,IOBM,IO_L11P_SRCC_38,UNUSED,,38,,,,,,,,,
A27,,IOBS,IO_L7N_38,UNUSED,,38,,,,,,,,,
A28,,,GND,,,,,,,,,,,,
A29,,IOBM,IO_L17P_28,UNUSED,,28,,,,,,,,,
A30,,IOBS,IO_L17N_28,UNUSED,,28,,,,,,,,,
A31,,IOBM,IO_L13P_28,UNUSED,,28,,,,,,,,,
A32,,IOBM,IO_L1P_27,UNUSED,,27,,,,,,,,,
A33,,,VCCO_27,,,27,,,,,any******,,,,
A34,,IOBM,IO_L5P_27,UNUSED,,27,,,,,,,,,
A35,,IOBS,IO_L5N_27,UNUSED,,27,,,,,,,,,
A36,,IOBM,IO_L13P_27,UNUSED,,27,,,,,,,,,
A37,,IOBS,IO_L1N_26,UNUSED,,26,,,,,,,,,
A38,,,GND,,,,,,,,,,,,
A39,adc0_adc3wire_clk,IOB,IO_L3N_26,OUTPUT,LVCMOS25*,26,12,SLOW,,,,LOCATED,NO,NONE,
A40,adc0_adc3wire_spi_rst,IOB,IO_L7P_26,OUTPUT,LVCMOS25*,26,12,SLOW,,,,LOCATED,NO,NONE,
A41,,IOBS,IO_L7N_26,UNUSED,,26,,,,,,,,,
AA1,,OPAD,MGTTXP2_114,UNUSED,,,,,,,,,,,
